Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
VIDEO MANAGEMENT,PA-7,10048,Epic,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 11:59,01-04-2026 12:29,01-04-2026 12:29,,,RELEASE LION,15-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@717843a9,,,,,ghx-label-8,,To Do,,,,dark_purple,,,,,0|i0002z:,,,PA Sprint 4,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:59
AS A USER I SHOULD BE ABLE TO ACCESS AND EDIT PROFILE,PA-9,10050,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:03,01-04-2026 12:23,02-04-2026 10:37,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f879d46,,,,,,,,,,,,,,,,0|i00033:,,,PA Sprint 2,,,,,,,,,,,,10046,PA-5,DASHBOARD/ HOMEPAGE,To Do,01-04-2026 12:03
AS A USER I SHOULD BE ABLE TO NAVIGATE TO DASHBOARD,PA-8,10049,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:01,01-04-2026 12:23,02-04-2026 10:45,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f643fec,,,,,,,,,,,,,,,,0|i00037:,,,PA Sprint 2,,,,,,,,,,,,10046,PA-5,DASHBOARD/ HOMEPAGE,To Do,01-04-2026 12:01
AS A USER I SHOULD BE ABLE TO ACCESS EVERYTHING IN COURSE DETAIL PAGE,PA-11,10052,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:05,01-04-2026 12:26,02-04-2026 09:54,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4bb94ac0,,,,,,,,,,,,,,,,0|i0003f:,,,PA Sprint 3,,,,,,,,,,,,10047,PA-6,COURSE MANAGEMENT,To Do,01-04-2026 12:05
AS A USER I SHOULD BE ABLE TO NAVIGATE THROUGH COURSE LISTING PAGE,PA-10,10051,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:04,01-04-2026 12:26,02-04-2026 09:54,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@394baebe,,,,,,,,,,,,,,,,0|i0003n:,,,PA Sprint 3,,,,,,,,,,,,10047,PA-6,COURSE MANAGEMENT,To Do,01-04-2026 12:04
AS A USER I SHOULD BE ABLE TO ACCESS EVERYTHING UNDER MY COURSES,PA-12,10053,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:06,01-04-2026 12:26,02-04-2026 09:54,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@de4ec56,,,,,,,,,,,,,,,,0|i00043:,,,PA Sprint 3,,,,,,,,,,,,10047,PA-6,COURSE MANAGEMENT,To Do,01-04-2026 12:06
AS A USER I SHOULD BE ABLE TO PLAY VIDEO,PA-13,10054,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:07,01-04-2026 12:27,02-04-2026 10:45,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@322b4a56,,,,,,,,,,,,,,,,0|i0004b:,,,PA Sprint 4,,,,,,,,,,,,10048,PA-7,VIDEO MANAGEMENT,To Do,01-04-2026 12:07
AS A USER I SHOULD BE ABLE TO REVIEW AND GIVE RATINGS,PA-14,10055,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:07,01-04-2026 12:27,02-04-2026 09:55,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1807935c,,,,,,,,,,,,,,,,0|i0004j:,,,PA Sprint 4,,,,,,,,,,,,10048,PA-7,VIDEO MANAGEMENT,To Do,01-04-2026 12:07
WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,PA-15,10056,Task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Highest,Done,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:25,02-04-2026 14:06,02-04-2026 09:58,02-04-2026 14:06,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2567760,,,,,,,,,,,,,,,,0|i0004r:,,,PA Sprint 1,,,,,,,,,,,10004_*:*_1_*:*_92457656_*|*_10005_*:*_1_*:*_0,,,,Done,02-04-2026 14:06
WRITE TEST CASE FOR FULL NAME TEXT FIELD,PA-16,10058,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:33,02-04-2026 14:05,02-04-2026 10:18,02-04-2026 14:05,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2bc5aa2b,,,,,,,,,,,,,,,,0|i0004z:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_77746217,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,Done,02-04-2026 14:05
WRITE TEST CASE FOR EMAIL ADDRESS FIELD,PA-17,10060,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:33,02-04-2026 14:05,01-04-2026 14:03,02-04-2026 14:05,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69292032,,,,,,,,,,,,,,,,0|i00057:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_91899782,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,Done,02-04-2026 14:05
WRITE TEST CASE FOR CONFIRM PASSWORD FIELD,PA-21,10068,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:35,02-04-2026 14:05,01-04-2026 14:06,02-04-2026 14:05,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@494b5246,,,,,,,,,,,,,,,,0|i00058:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_91791868,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,Done,02-04-2026 14:05
WRITE TEST CASE FOR OTP FIELD,PA-19,10064,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:34,02-04-2026 14:05,,02-04-2026 14:05,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16a69294,,,,,,,,,,,,,,,,0|i00059:,,,PA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_91844136,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,Done,02-04-2026 14:05
WRITE TEST CASE FOR SIGN UP BUTTON,PA-23,10072,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:37,02-04-2026 14:05,01-04-2026 14:06,02-04-2026 14:05,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f3b4bce,,,,,,,,,,,,,,,,0|i0005a:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_91692648,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,Done,02-04-2026 14:05
WRITE TEST CASE FOR PASSWORD FIELD ,PA-20,10066,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:35,02-04-2026 14:05,01-04-2026 14:06,02-04-2026 14:05,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@292d616d,,,,,,,,,,,,,,,,0|i0005b:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_91812676,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,Done,02-04-2026 14:05
WRITE TEST CASE FOR MOBILE NUMBER FIELD,PA-18,10062,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:34,02-04-2026 14:05,01-04-2026 14:05,02-04-2026 14:05,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4bb939e3,,,,,,,,,,,,,,,,0|i0005f:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_91886837,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,Done,02-04-2026 14:05
WRITE TEST CASE FOR TERMS AND CONDITION (CHECKBOX),PA-22,10070,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:36,02-04-2026 14:05,01-04-2026 14:07,02-04-2026 14:05,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e67cc3e,,,,,,,,,,,,,,,,0|i0005l:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,3_*:*_1_*:*_0_*|*_10004_*:*_1_*:*_91736343,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,Done,02-04-2026 14:05
CREATE TEST CYCLE FOR USER MANAGEMENT,PA-24,10140,Task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,Done,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,02-04-2026 14:08,02-04-2026 14:13,02-04-2026 15:16,02-04-2026 14:13,,RELEASE LION,04-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7c1b0330,,,,,,,,,,,,,,,,0|i0006z:,,,PA Sprint 1,02-04-2026 00:00,,,,,,,,,,10004_*:*_1_*:*_306420_*|*_10005_*:*_1_*:*_0,10042,PA-1,USER MANAGEMENT,Done,02-04-2026 14:13
CREATE TEST CYCLE FOR REGISTER MODULE,PA-25,10142,Sub-task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,Done,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,02-04-2026 14:09,02-04-2026 15:17,,02-04-2026 15:17,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c139030,,,,,,,,,,,,,,,,0|i00077:,,,PA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_162268_*|*_10041_*:*_3_*:*_4709_*|*_10004_*:*_1_*:*_46513_*|*_10005_*:*_2_*:*_3821525,10140,PA-24,CREATE TEST CYCLE FOR USER MANAGEMENT,Done,02-04-2026 15:17
EXECUTE TEST CASES ,PA-26,10144,Task,Done,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,High,Done,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,02-04-2026 14:14,02-04-2026 14:41,02-04-2026 14:14,02-04-2026 14:41,,RELEASE LION,04-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4dd97af4,,,,,,,,,,,,,,,,0|i0007f:,,,PA Sprint 1,02-04-2026 00:00,,,,,,,,,,10004_*:*_1_*:*_1629752_*|*_10005_*:*_1_*:*_0,10042,PA-1,USER MANAGEMENT,Done,02-04-2026 14:41
