Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
AS A USER I SHOULD BE ABLE TO NAVIGATE THROUGH COURSE LISTING PAGE,PA-10,10051,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:04,01-04-2026 12:26,02-04-2026 09:54,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b8ff0b4,,,,,,,,,,,,,,,,0|i0003n:,,,PA Sprint 3,,,,,,,,,,,,10047,PA-6,COURSE MANAGEMENT,To Do,01-04-2026 12:04
AS A USER I SHOULD BE ABLE TO ACCESS EVERYTHING UNDER MY COURSES,PA-12,10053,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Pavitra Sharma,712020:71111447-c217-4640-a3fd-5cb6502e1244,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:06,01-04-2026 12:26,02-04-2026 09:54,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@237a5785,,,,,,,,,,,,,,,,0|i00043:,,,PA Sprint 3,,,,,,,,,,,,10047,PA-6,COURSE MANAGEMENT,To Do,01-04-2026 12:06
AS A USER I SHOULD BE ABLE TO PLAY VIDEO,PA-13,10054,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:07,01-04-2026 12:27,02-04-2026 10:45,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b0e9d73,,,,,,,,,,,,,,,,0|i0004b:,,,PA Sprint 4,,,,,,,,,,,,10048,PA-7,VIDEO MANAGEMENT,To Do,01-04-2026 12:07
AS A USER I SHOULD BE ABLE TO REVIEW AND GIVE RATINGS,PA-14,10055,Story,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:07,01-04-2026 12:27,02-04-2026 09:55,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d75d658,,,,,,,,,,,,,,,,0|i0004j:,,,PA Sprint 4,,,,,,,,,,,,10048,PA-7,VIDEO MANAGEMENT,To Do,01-04-2026 12:07
WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,PA-15,10056,Task,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Highest,,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:25,01-04-2026 12:25,02-04-2026 09:58,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40813e10,,,,,,,,,,,,,,,,0|i0004r:,,,PA Sprint 1,,,,,,,,,,,,,,,To Do,01-04-2026 12:25
WRITE TEST CASE FOR FULL NAME TEXT FIELD,PA-16,10058,Sub-task,In Progress,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:33,02-04-2026 10:08,02-04-2026 10:18,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23969ddd,,,,,,,,,,,,,,,,0|i0004z:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,In Progress,02-04-2026 10:08
WRITE TEST CASE FOR EMAIL ADDRESS FIELD,PA-17,10060,Sub-task,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:33,01-04-2026 14:04,01-04-2026 14:03,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@735f72d5,,,,,,,,,,,,,,,,0|i00057:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 12:33
WRITE TEST CASE FOR MOBILE NUMBER FIELD,PA-18,10062,Sub-task,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:34,01-04-2026 14:05,01-04-2026 14:05,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e3be6dc,,,,,,,,,,,,,,,,0|i0005f:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 12:34
WRITE TEST CASE FOR OTP FIELD,PA-19,10064,Sub-task,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:34,01-04-2026 14:04,,,,,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3dfe0ae4,,,,,,,,,,,,,,,,0|i0005n:,,,PA Sprint 1,,,,,,,,,,,,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 12:34
WRITE TEST CASE FOR PASSWORD FIELD ,PA-20,10066,Sub-task,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:35,01-04-2026 14:06,01-04-2026 14:06,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78d03ae1,,,,,,,,,,,,,,,,0|i0005v:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 12:35
WRITE TEST CASE FOR CONFIRM PASSWORD FIELD,PA-21,10068,Sub-task,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:35,01-04-2026 14:06,01-04-2026 14:06,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d5cd32e,,,,,,,,,,,,,,,,0|i00063:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 12:35
WRITE TEST CASE FOR TERMS AND CONDITION (CHECKBOX),PA-22,10070,Sub-task,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:36,01-04-2026 14:07,01-04-2026 14:07,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3aa9a223,,,,,,,,,,,,,,,,0|i0006b:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 12:36
WRITE TEST CASE FOR SIGN UP BUTTON,PA-23,10072,Sub-task,To Do,PA,PROJECT A,software,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,Medium,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,Aryan Sharmaa,63b2e44c6f068efec8f785c0,01-04-2026 12:37,01-04-2026 14:07,01-04-2026 14:06,,,02-04-2026 00:00,0,,,Aryan Sharmaa,63b2e44c6f068efec8f785c0,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b0b8816,,,,,,,,,,,,,,,,0|i0006j:,,,PA Sprint 1,01-04-2026 00:00,,,,,,,,,,,10056,PA-15,WRITE FUNCTIONALITY TEST CASE FOR REGISTER MODULE,To Do,01-04-2026 12:37
